"","BCPD","Lifestage","Sex","Morph_original","maxPower","maxFreq","propPower","R","G","B","Cluster"
"1",66,"A","F","red_beige",0.617147179,63.99999893,0.11927235,11.779624115,6.715467045,4.857747478,"3"
"2",79,"A","F","red_beige",0.538520733,63.99999893,0.116689578,10.438845059,5.802167954,4.352474462,"3"
"3",92,"A","F","red_beige",0.677123834,63.99999893,0.116109911,10.317970217,6.611554733,4.600037835,"3"
"4",96,"A","F","white_back_sunset",2.967294857,90.50966632,0.163258837,22.07949621,18.45436164,15.79486166,"2"
"5",99,"A","F","red_beige",0.494162958,90.50966632,0.103199592,8.766121037,4.383663819,3.213383824,"3"
"6",101,"A","F","beige_fluor",0.903243672,90.50966632,0.102923195,17.13803025,11.901295301,6.668969984,"3"
"7",102,"A","F","red_beige",0.489218766,90.50966632,0.096981418,9.762418927,5.003688267,2.633302049,"3"
"8",103,"A","F","white",1.928449152,90.50966632,0.134817576,25.99843186,21.68158651,15.74709755,"2"
"9",106,"A","F","gold_yellow",0.90346291,90.50966632,0.126831137,16.47574966,11.139364207,5.921218362,"3"
"10",109,"A","F","beige_red",0.645775442,90.50966632,0.125602036,12.037058849,8.055820596,5.39637978,"3"
"11",111,"A","F","beige_brown",1.001131361,63.99999893,0.111883443,17.26503952,13.18750974,9.303499732,"3"
"12",113,"A","F","red_beige",0.422227244,63.99999893,0.091302594,11.110903968,4.507732036,2.9659371,"3"
"13",182,"A","F","beige",0.818373767,127.9999974,0.108563992,14.27998739,10.967835599,7.184260098,"3"
"14",186,"A","F","beige_red",0.723425036,90.50966632,0.110108625,14.49852185,9.38585921,6.025208069,"3"
"15",187,"A","F","red_beige",0.763856597,90.50966632,0.113674646,13.76590432,8.819436979,5.935152514,"3"
"16",192,"A","F","beige",0.490034408,90.50966632,0.11246164,10.121872915,7.158919412,4.327202134,"3"
"17",196,"A","F","red_beige",0.204990982,22.62741673,0.087923662,6.999946172,2.038579537,1.377745816,"1"
"18",212,"A","F","white_back_sunset",1.312535976,90.50966632,0.131580455,16.99727906,11.687906791,7.932750907,"2"
"19",219,"A","F","red_beige",0.484326051,90.50966632,0.103107327,11.32622729,4.881830517,3.218660088,"3"
"20",221,"A","F","beige_middle",0.751955211,63.99999893,0.125804416,14.2333579,9.844658023,5.93606477,"3"
"21",223,"A","F","white",1.598502433,90.50966632,0.114346688,25.66419829,20.07174464,14.81484698,"2"
"22",224,"A","F","gold",0.47872254,90.50966632,0.113900674,10.19700391,6.960954055,4.408729978,"3"
"23",233,"A","F","red_beige",0.41905314,90.50966632,0.115279405,8.556367693,5.514678053,4.005582865,"3"
"24",234,"A","F","red_beige",0.325314784,90.50966632,0.10724982,8.07404604,4.292866361,3.438587261,"3"
"25",318,"A","F","beige_orange_bits",0.801893113,127.9999974,0.135192382,13.19065439,9.619002784,6.286555174,"3"
"26",322,"A","F","beige_pink",0.741165354,127.9999974,0.119242765,14.00298561,9.67993471,6.336052033,"3"
"27",337,"A","F","white_back_red",1.694057539,127.9999974,0.137721163,17.71140649,9.825247827,7.810057717,"2"
"28",342,"A","F","red_gold",0.529799684,90.50966632,0.110441206,11.493656224,6.55517811,4.163289944,"3"
"29",344,"A","F","red_beige",0.301238068,127.9999974,0.098977849,8.048988932,3.953324385,2.880491938,"3"
"30",345,"A","F","red_speckle",0.236770149,90.50966632,0.097331903,9.238883147,3.003919817,2.496055192,"3"
"31",350,"A","F","red_beige",0.325295262,90.50966632,0.095478964,8.777084912,4.352083119,3.530105194,"3"
"32",371,"A","F","red_beige",0.375120493,22.62741673,0.099528534,8.075354955,4.655334767,3.702453487,"1"
"33",373,"A","F","red_beige",0.374644761,22.62741673,0.099667013,8.705542916,4.94260753,4.016807361,"1"
"34",374,"A","F","red_beige",0.571595141,63.99999893,0.12247604,11.175237262,6.447820494,4.583281663,"3"
"35",376,"A","F","white",2.568685567,90.50966632,0.12184642,39.12972215,32.67753175,25.57225071,"2"
"36",381,"A","F","red_speckle",0.213418746,22.62741673,0.084471538,7.377767971,3.470862641,2.690147292,"1"
"37",382,"A","F","white_back_red",2.145488721,127.9999974,0.145676673,18.43468305,14.25609693,11.38914669,"2"
"38",384,"A","F","red_beige",0.418444208,22.62741673,0.096116598,8.862539331,3.834722847,2.860529431,"1"
