"","BCPD","Lifestage","Sex","Morph_original","maxPower","maxFreq","propPower","R","G","B","Cluster"
"77",586,"A","F","red_beige",0.462991008,63.99999893,0.125103707,10.510978126,6.020490981,4.839340604,"2"
"78",588,"A","F","red_beige",0.489960543,63.99999893,0.124097099,10.171492197,5.106115307,3.588553978,"2"
"79",591,"A","F","white_back_red",1.47294292,63.99999893,0.129573311,16.848659,12.54601607,9.311135438,"1"
"80",592,"A","F","red_speckle",0.184502222,15.99999984,0.088793386,6.85497595,3.022734204,2.446416102,"4"
"81",619,"A","F","white_hourglass",1.515835201,63.99999893,0.133324856,19.50498483,16.08999079,12.329848167,"3"
"471",208,"A","F","mimic_orange_type1",1.957156371,90.50966632,0.13967501,30.67392099,24.69171688,19.88899638,"M"
"104",377,"A","F","fluor",1.3482037,90.50966632,0.126891671,35.82383952,6.85406782,4.690079622,"M"
"125",415,"A","F","mimic_orange_type1",1.324539876,90.50966632,0.129406609,22.92032083,17.06268263,13.8201471,"M"
"137",467,"A","F","green",0.548609718,90.50966632,0.128860455,9.147017519,8.932250907,3.705305633,"M"
"142",484,"A","F","fluor",1.120616064,90.50966632,0.127990328,31.21262183,5.339007023,3.1219963,"M"
