"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v2_e_prop_diff",0,0,60505.6355211798,113.568589471179,89.6363722101689,1.20259889894136,-121011.27104236,227.137178942357
"2","m5v0_e_prop_diff",-659.856981227993,36.8294708327522,59845.7785399521,115.459178890828,88.2051256335118,1.22733624096318,-119691.557079904,230.918357781657
