"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",2.51,0.0377,2.45,2.56,2.43,2.58
"2","Size_center",-0.101,0.0583,-0.186,-0.0167,-0.215,0.0126
"3","SexF",0.116,0.0608,0.0295,0.204,-0.00314,0.234
