"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",2,0.0527,1.92,2.08,1.9,2.1
"2","Size_center",-0.336,0.0797,-0.45,-0.221,-0.493,-0.178
"3","SexF",0.215,0.0838,0.0946,0.336,0.0497,0.378
