"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-0.505,0.0631,-0.595,-0.414,-0.628,-0.38
"2","Size_center",-0.394,0.0949,-0.529,-0.257,-0.581,-0.209
"3","SexF",0.339,0.102,0.194,0.486,0.142,0.542
