"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.69,0.055,1.61,1.77,1.59,1.8
"2","Size_center",-0.398,0.0825,-0.516,-0.28,-0.56,-0.234
"3","SexF",0.217,0.0879,0.09,0.343,0.0442,0.388
