"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-0.153,0.0909,-0.286,-0.023,-0.331,0.0234
"2","MicrohabitatHydrallmania",0.381,0.0879,0.255,0.508,0.211,0.554
"3","MicrohabitatSand",-1.28,0.142,-1.48,-1.08,-1.56,-1
"4","MicrohabitatSertulariidae",-0.349,0.106,-0.501,-0.197,-0.556,-0.141
"5","Time",-0.00423,0.00505,-0.0116,0.00304,-0.0141,0.00563
