"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m4v1_Filter_max",0,0,-967.055260678425,8.73418726115327,3.26653926099497,0.307999488293568,1934.11052135685,17.4683745223065
"2","m4v0_Filter_max",-17.3574244230113,5.21770655618467,-984.41268510144,7.57817690140622,1.54280972920144,0.150641850875809,1968.82537020288,15.1563538028124
