"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.61,0.0375,1.56,1.67,1.54,1.68
"2","SexF",0.182,0.0106,0.167,0.197,0.161,0.202
"3","Microhabitat_AssociationPresent",-0.0578,0.0114,-0.0743,-0.0413,-0.0802,-0.0355
"4","Viewpoint10",0.00596,0.0127,-0.0122,0.0242,-0.0189,0.0309
"5","Viewpoint20",0.00774,0.0125,-0.00996,0.0261,-0.0165,0.0325
