"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-2.27,0.0132,-2.29,-2.25,-2.3,-2.25
"2","Size_center",-0.141,0.0204,-0.171,-0.112,-0.181,-0.101
"3","SexF",0.122,0.0211,0.0919,0.153,0.0817,0.164
