"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-1.25,0.0522,-1.32,-1.17,-1.35,-1.15
"2","Viewpoint10",0.293,0.0434,0.231,0.356,0.208,0.378
"3","Viewpoint20",0.371,0.0433,0.308,0.433,0.285,0.455
"4","SexF",-0.0355,0.0635,-0.127,0.0555,-0.159,0.088
"5","MicrohabitatHydroid_Bryozoa",-0.0108,0.0471,-0.078,0.0568,-0.103,0.0818
"6","MicrohabitatRed_Algae",-0.00793,0.0883,-0.136,0.12,-0.181,0.166
