"Hypothesis","PosteriorProbability"
"1","P(Red-Beige Morph Nudibranch effect > 0)",0.55955
"2","P(Red-Beige Morph Nudibranch effect < 0)",0.44045
"3","P(White Morph Nudibranch effect > 0)",0.2116
"4","P(White Morph Nudibranch effect < 0)",0.7884
"5","P(Bright Morph Nudibranch effect > 0)",0.62625
"6","P(Bright Morph Nudibranch effect < 0)",0.37375
