"Parameter","Rhat","Model"
"b_Intercept",1,"e_prop_diff"
"b_SexF",1,"e_prop_diff"
"b_Microhabitat_AssociationPresent",1,"e_prop_diff"
"b_Viewpoint10",1,"e_prop_diff"
"b_Viewpoint20",1,"e_prop_diff"
