"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m6v2_GabRat",0,0,1072.86293252624,6.27045803870006,34.4324378973687,1.31012667215837,-2145.72586505249,12.5409160774001
"2","m6v1_GabRat",-0.7212041727096,1.61819318817089,1072.14172835354,5.88366889505947,36.1069336696925,1.23925848455295,-2144.28345670707,11.7673377901189
"3","m6v0_GabRat",-72.8084385874708,4.5493324462798,1000.05449393877,6.78312433748972,46.9888634757123,1.790224508814,-2000.10898787755,13.5662486749794
