"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.22,0.0365,1.17,1.27,1.15,1.29
"2","SexF",0.252,0.0131,0.233,0.271,0.227,0.278
"3","Microhabitat_AssociationPresent",-0.0217,0.0143,-0.0422,-0.00112,-0.0495,0.00628
"4","Viewpoint10",0.00619,0.0154,-0.0161,0.0285,-0.024,0.0364
"5","Viewpoint20",0.00704,0.0156,-0.0155,0.0293,-0.0238,0.0376
