"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.57,0.0342,1.52,1.61,1.5,1.63
"2","SexF",0.159,0.0114,0.142,0.175,0.136,0.18
"3","Microhabitat_AssociationPresent",-0.0634,0.0123,-0.081,-0.0458,-0.0875,-0.0394
"4","Viewpoint10",0.00601,0.0136,-0.0138,0.0255,-0.0204,0.0326
"5","Viewpoint20",0.00657,0.0136,-0.013,0.0263,-0.0199,0.0335
