"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-0.775,0.0318,-0.821,-0.73,-0.837,-0.713
"2","SexF",0.116,0.0117,0.099,0.132,0.0927,0.139
"3","Microhabitat_AssociationPresent",-0.0189,0.0126,-0.037,-0.000699,-0.0432,0.00623
"4","Viewpoint10",-0.0432,0.0139,-0.0634,-0.023,-0.0704,-0.0159
"5","Viewpoint20",-0.0683,0.014,-0.0884,-0.0482,-0.0952,-0.0412
