"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v1_Filter_max_diff",0,0,-46193.7932209322,130.789580277765,78.9269686550868,1.01233479315297,92387.5864418645,261.579160555531
"2","m5v2_Filter_max_diff",-36.526486347604,7.95777083329851,-46230.31970728,131.339982035471,78.5087646907221,1.02585097702353,92460.63941456,262.679964070941
"3","m5v0_Filter_max_diff",-8177.96045088377,100.569404835142,-54371.7536718178,138.18103667034,98.6875547423149,1.76216847199398,108743.507343636,276.362073340681
