"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.58,0.0411,1.52,1.64,1.5,1.67
"2","SexF",0.175,0.0107,0.16,0.19,0.154,0.196
"3","MicrohabitatHydroid_Bryozoa",0.0751,0.0121,0.0578,0.0925,0.0517,0.0991
"4","MicrohabitatRed_Algae",-0.0973,0.0172,-0.122,-0.0723,-0.131,-0.0633
"5","Viewpoint10",0.00615,0.0126,-0.012,0.0244,-0.0187,0.0307
"6","Viewpoint20",0.00782,0.0126,-0.0106,0.0259,-0.0171,0.0321
