"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v1_e_prop_diff",0,0,60692.475827896,115.458210346294,91.2141461332322,1.25920210661846,-121384.951655792,230.916420692589
"2","m5v2_e_prop_diff",-186.840306716146,20.5770052870238,60505.6355211798,113.568589471179,89.6363722101689,1.20259889894136,-121011.27104236,227.137178942357
"3","m5v0_e_prop_diff",-846.697287944139,39.1293967717956,59845.7785399521,115.459178890828,88.2051256335118,1.22733624096318,-119691.557079904,230.918357781657
