"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-4.07,0.0201,-4.1,-4.05,-4.11,-4.03
"2","SexF",-0.246,0.00885,-0.259,-0.234,-0.264,-0.229
"3","MicrohabitatHydroid_Bryozoa",-0.0338,0.01,-0.0482,-0.0194,-0.0534,-0.0141
"4","MicrohabitatRed_Algae",0.262,0.0142,0.241,0.282,0.234,0.289
"5","Viewpoint10",0.0817,0.0106,0.0662,0.0969,0.0607,0.103
"6","Viewpoint20",0.227,0.0106,0.212,0.242,0.206,0.248
