"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.53,0.0361,1.48,1.58,1.46,1.6
"2","SexF",0.149,0.0114,0.132,0.165,0.126,0.17
"3","MicrohabitatHydroid_Bryozoa",0.113,0.013,0.0942,0.131,0.0872,0.139
"4","MicrohabitatRed_Algae",-0.159,0.0184,-0.186,-0.133,-0.195,-0.123
"5","Viewpoint10",0.006,0.0134,-0.0133,0.0253,-0.0203,0.0325
"6","Viewpoint20",0.00661,0.0134,-0.0127,0.0259,-0.0197,0.0329
