"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m1v2",0,0,-181.160084621542,9.49069385880768,8.51507277692884,0.585408253806121,362.320169243085,18.9813877176154
"2","m1v1",-4.32200462188311,1.56018828979096,-185.482089243426,9.61393443933169,7.36387753211671,0.48738891562018,370.964178486851,19.2278688786634
"3","m1v0",-14.8706413430264,4.87457031444145,-196.030725964567,9.75256513575437,3.62179235553002,0.245177706581261,392.061451929135,19.5051302715087
