"Parameter","Rhat","Model"
"b_Intercept",1,"GabRat"
"b_Viewpoint10",1,"GabRat"
"b_Viewpoint20",1,"GabRat"
"b_SexF",1,"GabRat"
"b_Microhabitat_AssociationPresent",1,"GabRat"
