"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v1_B_c_diff",0,0,-42172.9130424138,150.496339733894,111.476507325309,2.02913676802372,84345.8260848276,300.992679467788
"2","m5v2_B_c_diff",-178.581294717601,15.1686637822087,-42351.4943371316,151.266706364421,113.175143202646,2.07094954370071,84702.9886742632,302.533412728843
"3","m5v0_B_c_diff",-365.349125051042,26.3919836687448,-42538.2621674647,152.86492648453,109.774306630455,2.28645015663594,85076.5243349293,305.72985296906
