"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",1.22,0.0382,1.17,1.28,1.15,1.3
"2","SexF",0.243,0.0129,0.224,0.261,0.218,0.268
"3","MicrohabitatHydroid_Bryozoa",0.109,0.0147,0.0881,0.13,0.0806,0.138
"4","MicrohabitatRed_Algae",-0.34,0.0211,-0.37,-0.309,-0.381,-0.298
"5","Viewpoint10",0.00624,0.0154,-0.0159,0.0284,-0.0239,0.0363
"6","Viewpoint20",0.00677,0.0154,-0.0154,0.029,-0.0236,0.0369
