"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",2.63,0.0198,2.6,2.66,2.59,2.67
"2","SexF",0.0353,0.00763,0.0244,0.0463,0.0205,0.0503
"3","Microhabitat_AssociationPresent",-0.0027,0.00811,-0.0144,0.00908,-0.0185,0.0133
"4","Viewpoint10",-1.03,0.0092,-1.04,-1.02,-1.05,-1.01
"5","Viewpoint20",-1.32,0.00911,-1.33,-1.31,-1.34,-1.3
