"Parameter","Rhat","Model"
"b_Intercept",1.01,"G_c_diff"
"b_SexF",1,"G_c_diff"
"b_Microhabitat_AssociationPresent",1,"G_c_diff"
"b_Viewpoint10",1,"G_c_diff"
"b_Viewpoint20",1,"G_c_diff"
