"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","expv2",0,0,-963.039715130637,18.1151577799794,6.55464346028854,0.339263367379625,1926.07943026127,36.2303155599587
"2","expv1",-1.18079381481844,3.10282976132471,-964.220508945454,17.8444807739546,4.47913403280602,0.203052488778222,1928.44101789091,35.6889615479092
"3","expv0",-100.84319872559,11.8008268146766,-1063.88291385622,17.1184836003479,2.53521651700206,0.103509999870518,2127.76582771245,34.2369672006957
