"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v2_Filter_max_diff",0,0,-46230.31970728,131.339982035471,78.5087646907221,1.02585097702353,92460.63941456,262.679964070941
"2","m5v0_Filter_max_diff",-8141.43396453617,100.167963557035,-54371.7536718178,138.18103667034,98.6875547423149,1.76216847199398,108743.507343636,276.362073340681
