"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",2.64,0.0198,2.61,2.66,2.6,2.67
"2","SexF",0.0395,0.00766,0.0284,0.0506,0.0245,0.0548
"3","MicrohabitatHydroid_Bryozoa",-0.0529,0.00863,-0.0653,-0.0406,-0.0699,-0.0361
"4","MicrohabitatRed_Algae",0.0578,0.0123,0.04,0.0755,0.0335,0.0825
"5","Viewpoint10",-1.03,0.00907,-1.04,-1.02,-1.05,-1.01
"6","Viewpoint20",-1.32,0.00907,-1.33,-1.31,-1.34,-1.3
