"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-0.776,0.0334,-0.824,-0.729,-0.841,-0.71
"2","SexF",0.105,0.0117,0.0884,0.122,0.0824,0.128
"3","MicrohabitatHydroid_Bryozoa",0.0534,0.0134,0.0343,0.0726,0.0272,0.0795
"4","MicrohabitatRed_Algae",-0.198,0.0187,-0.225,-0.171,-0.235,-0.162
"5","Viewpoint10",-0.0424,0.0136,-0.062,-0.0228,-0.0693,-0.0159
"6","Viewpoint20",-0.0668,0.0138,-0.0866,-0.0469,-0.0938,-0.0399
