"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v1_e_max_diff",0,0,-2711.42003310893,133.243064576807,102.447609720779,1.6820073167562,5422.84006621785,266.486129153614
"2","m5v2_e_max_diff",-73.4871652796178,8.72776007788388,-2784.90719838852,134.807674618251,103.765376297426,1.72928907243985,5569.81439677703,269.615349236502
"3","m5v0_e_max_diff",-131.665157170932,14.651256827539,-2843.08519027984,134.949856365264,99.1965204323952,1.70472416376797,5686.17038055969,269.899712730528
