"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-4.01,0.0206,-4.04,-3.98,-4.05,-3.97
"2","SexF",-0.252,0.00902,-0.265,-0.239,-0.27,-0.234
"3","Microhabitat_AssociationPresent",-0.0601,0.00946,-0.0737,-0.0465,-0.0787,-0.0413
"4","Viewpoint10",0.0822,0.0107,0.0666,0.0975,0.0611,0.103
"5","Viewpoint20",0.225,0.0107,0.209,0.24,0.203,0.245
