"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v1_G_c_diff",0,0,-46526.8133903886,135.374484552788,103.37674600417,1.95178736930457,93053.6267807771,270.748969105576
"2","m5v2_G_c_diff",-84.2358458570806,11.0450175248001,-46611.0492362456,136.385197014693,104.412959087539,1.98058530547232,93222.0984724913,272.770394029387
"3","m5v0_G_c_diff",-186.864783189826,18.5589362598883,-46713.6781735782,137.496861912778,101.11115466969,2.05180225974255,93427.3563471564,274.993723825556
