"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-1.47,0.0623,-1.56,-1.38,-1.59,-1.35
"2","Viewpoint10",0.293,0.0434,0.23,0.355,0.208,0.377
"3","Viewpoint20",0.37,0.0432,0.308,0.433,0.285,0.454
"4","SexF",-0.0536,0.0586,-0.138,0.0309,-0.17,0.0599
"5","Microhabitat_AssociationPresent",0.335,0.0625,0.245,0.425,0.212,0.456
