"Model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"1","m5v1_R_c_diff",0,0,-46965.9229763443,136.876254185568,106.75664434762,2.18764806192843,93931.8459526887,273.752508371136
"2","m5v2_R_c_diff",-34.4515656238446,7.80814620164979,-47000.3745419683,137.976707932105,107.612676734088,2.23201230811384,94000.7490839366,275.953415864209
"3","m5v0_R_c_diff",-187.219569629834,20.1065004289648,-47153.1425459742,139.733774235967,104.319466246147,2.36336282737204,94306.2850919484,279.467548471935
