"BCPD","Lifestage","Sex","Size","Morph","Morph2","Fecundity","Surface_area"
"0330","A","M",4.089,"W","W",NA,0.785565642
"0331","A","M",4.392,"W","W",NA,0.651902218
"0499","A","F",6.113,"W","W",29,2.159024722
"0338","A","M",7.034,"W","W",NA,1.703227404
"0352","A","M",4.419,"W","W",NA,0.597209625
"0406","A","F",6.261,"W","W",28,2.157516259
"0394","A","M",6.286,"W","W",NA,1.65652494
"0416","A","M",4.661,"W","W",NA,0.729966745
"0212","A","F",6.686,"W","W",41,2.620938814
"0445","A","M",4.962,"W","W",NA,0.858141573
"0393","A","F",6.688,"W","W",78,2.829412881
"0096","A","F",6.756,"W","W",58,3.455431243
"0396","A","F",7.048,"W","W",0,3.238212866
"0513","A","M",6.11,"W","W",NA,1.274433801
"0591","A","F",7.336,"W","W",70,2.209920074
"0535","A","M",5.27,"W","W",NA,1.087777977
"0103","A","F",7.556,"W","W",82,3.837327549
"0505","A","F",7.865,"W","W",73,3.63388216
"0376","A","F",8.356,"W","W",102,3.724297863
"0382","A","F",8.444,"W","W",123,4.46907185
"0223","A","F",8.484,"W","W",118,4.59118708
"0599","A","M",3.509,"W","W",NA,0.579585647
"0616","A","M",4.809,"W","W",NA,0.657572106
"0337","A","F",8.981,"W","W",0,4.91660175
"0620","A","M",5.179,"W","W",NA,0.803736921
"0622","A","M",3.633,"W","W",NA,0.493676583
"0634","A","M",4.971,"W","W",NA,0.877861576
