"BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c"
"0232","A","M","beige_red",0.340764094,22.62741673,0.088625153,9.484328513,4.690943114,3.111870433
"0182","A","F","beige",0.818373767,127.9999974,0.108563992,14.27998739,10.967835599,7.184260098
"0235","A","M","red",0.249504005,45.25483331,0.095538924,9.550760775,3.2404481,2.532813182
"0301","A","M","beige_red",0.555659082,31.99999957,0.111474873,11.885460607,8.881684442,6.138571571
"0303","A","M","beige_red",0.394958356,15.99999984,0.089501191,10.04039485,7.028454462,5.093461398
"0221","A","F","beige_middle",0.751955211,63.99999893,0.125804416,14.2333579,9.844658023,5.93606477
"0306","A","M","gold_red_stripes",0.319300628,127.9999974,0.090144724,8.909134557,5.416591788,3.556965904
"0374","A","F","red_beige",0.571595141,63.99999893,0.12247604,11.175237262,6.447820494,4.583281663
"0314","A","M","gold_red_stripes",0.312181692,31.99999957,0.098740915,8.488727235,6.070272216,4.368126469
"0315","A","M","gold_red",0.422981888,45.25483331,0.095289236,10.051834528,7.009618461,4.651287804
"0317","A","M","beige_red",0.40760609,127.9999974,0.08542873,10.887177318,7.330019269,5.406574842
"0321","A","M","red_orange_border",0.49551765,90.50966632,0.091388692,12.523679107,6.97798772,4.644409671
"0323","A","M","red_white_orange_bits",0.474029463,90.50966632,0.096162024,11.950864925,7.010894757,4.466763688
"0325","A","M","red_gold",0.55562492,90.50966632,0.105792813,12.399886107,7.451568029,5.730772021
"0592","A","F","red_speckle",0.184502222,15.99999984,0.088793386,6.85497595,3.022734204,2.446416102
"0329","A","M","beige",0.562068211,90.50966632,0.102904501,11.499729913,8.784170614,5.839697859
"0335","A","M","red_beige",0.375468748,90.50966632,0.091577074,10.167299337,5.640279297,3.90129183
"0341","A","M","red_beige",0.430752586,15.99999984,0.095855747,10.475095534,6.904824557,5.991889508
"0345","A","F","red_speckle",0.236770149,90.50966632,0.097331903,9.238883147,3.003919817,2.496055192
"0343","A","M","red_beige",0.498053557,45.25483331,0.09015623,12.381164242,7.296956629,5.2296753
"0520","A","F","beige_pink",0.815579354,63.99999893,0.123557739,15.14551085,10.630490109,7.414208064
"0346","A","M","red_beige",0.30801176,7.999999946,0.088362922,10.709268071,4.370837155,3.973632663
"0348","A","M","gold",0.601521183,63.99999893,0.111395323,12.992774962,9.361257759,5.661624354
"0351","A","M","red_beige",0.397739119,31.99999957,0.094895597,10.652103241,6.154990052,5.263147843
"0353","A","M","pink_beige",0.630439626,22.62741673,0.12524945,10.645097929,8.25959027,6.971185786
"0354","A","M","gold_red_stripes",0.444762308,31.99999957,0.107034836,10.053847277,7.58409403,4.656764132
"0542","A","F","beige_pink",0.789683884,63.99999893,0.119581089,14.15781947,10.472608147,7.123259414
"0358","A","M","beige_brown",0.737250028,31.99999957,0.122108646,13.80965086,9.714032324,6.530930316
"0366","A","M","red_gold",0.34560028,22.62741673,0.095468516,9.454394855,5.000454348,3.585268126
"0368","A","M","beige_brown",0.700936679,31.99999957,0.121990483,12.922035303,10.384255939,7.795754397
"0566","A","F","red_gold",0.22139465,90.50966632,0.093993344,6.952974905,4.194757419,3.030337097
"0372","A","M","beige_red",0.60833331,45.25483331,0.095623426,14.06433745,9.650930396,6.186721544
"0491","A","F","red_beige",0.541635221,63.99999893,0.123247117,9.94737907,5.277620858,3.543237514
"0111","A","F","beige_brown",1.001131361,63.99999893,0.111883443,17.26503952,13.18750974,9.303499732
"0234","A","F","red_beige",0.325314784,90.50966632,0.10724982,8.07404604,4.292866361,3.438587261
"0383","A","M","gold_orange_bits",0.489780317,22.62741673,0.093687132,10.583098423,6.943508207,4.186139109
"0391","A","M","gold",0.491427994,45.25483331,0.092680212,11.159978399,8.184406802,5.251059405
"0392","A","M","red_speckle",0.26089147,11.3137084,0.086609976,10.136680387,3.528358201,2.967527635
"0092","A","F","red_beige",0.677123834,63.99999893,0.116109911,10.317970217,6.611554733,4.600037835
"0066","A","F","red_beige",0.617147179,63.99999893,0.11927235,11.779624115,6.715467045,4.857747478
"0401","A","M","pink_speckle",0.444703126,22.62741673,0.122643536,10.628383173,5.838013294,5.073866271
"0588","A","F","red_beige",0.489960543,63.99999893,0.124097099,10.171492197,5.106115307,3.588553978
"0404","A","M","gold_orange_bits",0.494158573,45.25483331,0.103163547,10.324567013,7.457601535,4.558169331
"0407","A","M","beige_white_red_stripe",0.556091191,31.99999957,0.111245917,12.221455245,9.499928736,7.12636705
"0411","A","M","beige_red",0.346248497,45.25483331,0.096130995,8.7232052,5.636839666,3.736463953
"0109","A","F","beige_red",0.645775442,90.50966632,0.125602036,12.037058849,8.055820596,5.39637978
"0318","A","F","beige_orange_bits",0.801893113,127.9999974,0.135192382,13.19065439,9.619002784,6.286555174
"0423","A","M","red",0.202195328,15.99999984,0.088302736,8.517669343,2.77544942,2.326927473
"0427","A","M","red_speckle",0.228777686,11.3137084,0.083920876,8.002847901,3.716274585,3.489824559
"0186","A","F","beige_red",0.723425036,90.50966632,0.110108625,14.49852185,9.38585921,6.025208069
"0405","A","F","red_gold",0.36775263,90.50966632,0.103116267,9.319072036,5.768250245,3.883487894
"0342","A","F","red_gold",0.529799684,90.50966632,0.110441206,11.493656224,6.55517811,4.163289944
"0515","A","F","red_gold",0.379642141,63.99999893,0.099152503,9.60232495,5.684501676,4.076038841
"0465","A","F","red_beige",0.300135775,63.99999893,0.107442236,9.098620823,4.272610024,3.342304213
"0385","A","F","beige_red",0.541074777,90.50966632,0.112393787,10.702766914,7.866823835,5.164373758
"0219","A","F","red_beige",0.484326051,90.50966632,0.103107327,11.32622729,4.881830517,3.218660088
"0524","A","F","red_beige",0.47165357,63.99999893,0.111968814,8.692081,4.799930431,3.300946747
"0540","A","F","red_speckle",0.25942791,22.62741673,0.086628683,8.409537972,3.715565504,2.817333258
"0350","A","F","red_beige",0.325295262,90.50966632,0.095478964,8.777084912,4.352083119,3.530105194
"0477","A","M","gold",0.329871133,45.25483331,0.095320545,9.198574129,6.292658125,4.07538028
"0569","A","F","red_gold",0.243548462,63.99999893,0.093328101,7.647343885,3.968509571,2.888159128
