"BCPD","Image","Morph","Sex","Microhabitat_Association","Viewpoint","Microhabitat","Background","e_max_diff","Filter_max_diff","e_prop_diff","R_c_diff","G_c_diff","B_c_diff"
"0396","0456_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.8597897478,6.301933496,0.0219885188,12.484792732,11.030797961,9.3539217926
"0396","0457","W","F","Absent","0","Red_Algae","Hydroid",0.3226762086,17.227416696,0.0352967572,1.0235468602,2.5474907234,1.6941158906
"0396","0457_BRYO","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.5229869402,13.47838356,0.029719806,7.988503866,7.2171354912,6.6549878282
"0396","0458","W","F","Present","0","Red_Algae","Red_Algae",0.7539987542,29.3646747888,0.0401213244,7.5686163636,5.7099039424,2.8642237646
"0396","0460","W","F","Absent","0","Red_Algae","Hydroid",0.1261002894,6.301933496,0.021556026,1.1933031602,2.3892483516,1.924495277
"0396","0461","W","F","Absent","0","Red_Algae","Hydroid",0.4039731882,10.050966632,0.0375001084,4.2970761144,0.833769644,0.3372366598
"0396","0469","W","F","Absent","0","Red_Algae","Hydroid",0.428503254,7.788224982,0.0385741428,4.951089574,1.313631923,0.4508421598
"0396","0472","W","F","Absent","0","Red_Algae","Hydroid",0.3989048986,8.176450064,0.0325925964,4.2084516856,0.9080536354,0.4248037008
"0396","0476","W","F","Absent","0","Red_Algae","Hydroid",0.3606838124,3.650966748,0.0257992906,3.7260066006,0.9023822498,0.4640617124
"0396","0477","W","F","Absent","0","Red_Algae","Hydroid",0.3035234672,9.501933442,0.0395602628,2.9860108042,0.79926338,0.6666824326
"0396","0487","W","F","Absent","0","Red_Algae","Hydroid",0.182333409,13.47838356,0.032266857,1.3735728752,0.9565717772,0.7155632578
"0396","0488","W","F","Absent","0","Red_Algae","Hydroid",0.234932568,19.329350254,0.035121861,1.5680027588,1.700918378,0.7333069648
"0396","0489","W","F","Absent","0","Red_Algae","Hydroid",0.2463915972,17.454833686,0.0303100384,1.9350834306,1.430797674,0.5491980608
"0396","0490","W","F","Absent","0","Red_Algae","Hydroid",0.5139819024,29.6724958378,0.04924859,4.3391901898,3.2314660932,1.3798195526
"0396","0491","W","F","Absent","0","Red_Algae","Hydroid",0.4073004856,13.090158478,0.045243566,4.0977468692,2.6818944392,0.8505535662
"0396","0493","W","F","Absent","0","Red_Algae","Hydroid",0.4060844582,15.741125226,0.036015372,3.5851989692,2.5371543116,0.9104091088
"0396","0494","W","F","Absent","0","Red_Algae","Hydroid",0.4877872048,25.729350146,0.049893657,4.0056834544,3.0942994248,1.1933196362
"0396","0496","W","F","Absent","0","Red_Algae","Hydroid",0.2206323438,8.176450064,0.0286939006,2.1582183884,0.9802758396,0.6060333596
"0396","0498","W","F","Absent","0","Red_Algae","Hydroid",0.2948113328,21.59209192,0.044948463,2.1940479402,1.4722157304,0.7354747604
"0396","0499","W","F","Absent","0","Red_Algae","Hydroid",0.2255303774,14.027416758,0.0384338918,1.4367752032,1.0071357174,0.6169341694
"0396","0501","W","F","Absent","0","Red_Algae","Hydroid",0.3012194262,6.301933496,0.0372825602,1.9565814722,1.4009202732,0.8843310016
