"","BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c","Cluster"
"53","BCPD_0368","A","M","beige_brown",0.700936679,31.99999957,0.121990483,12.922035303,10.384255939,7.795754397,"2"
"54","BCPD_0372","A","M","beige_red",0.60833331,45.25483331,0.095623426,14.06433745,9.650930396,6.186721544,"2"
"55","BCPD_0383","A","M","gold_orange_bits",0.489780317,22.62741673,0.093687132,10.583098423,6.943508207,4.186139109,"3"
"56","BCPD_0391","A","M","gold",0.491427994,45.25483331,0.092680212,11.159978399,8.184406802,5.251059405,"3"
"57","BCPD_0392","A","M","red_speckle",0.26089147,11.3137084,0.086609976,10.136680387,3.528358201,2.967527635,"3"
"58","BCPD_0401","A","M","pink_speckle",0.444703126,22.62741673,0.122643536,10.628383173,5.838013294,5.073866271,"3"
"59","BCPD_0404","A","M","gold_orange_bits",0.494158573,45.25483331,0.103163547,10.324567013,7.457601535,4.558169331,"3"
"60","BCPD_0407","A","M","beige_white_red_stripe",0.556091191,31.99999957,0.111245917,12.221455245,9.499928736,7.12636705,"2"
"61","BCPD_0411","A","M","beige_red",0.346248497,45.25483331,0.096130995,8.7232052,5.636839666,3.736463953,"3"
"62","BCPD_0423","A","M","red",0.202195328,15.99999984,0.088302736,8.517669343,2.77544942,2.326927473,"3"
"63","BCPD_0427","A","M","red_speckle",0.228777686,11.3137084,0.083920876,8.002847901,3.716274585,3.489824559,"3"
"64","BCPD_0477","A","M","gold",0.329871133,45.25483331,0.095320545,9.198574129,6.292658125,4.07538028,"3"
"65","BCPD_0494","A","M","red_gold",0.328712945,11.3137084,0.091830257,8.80136237,5.240794334,4.037992302,"3"
"66","BCPD_0509","A","M","red_gold",0.268033788,90.50966632,0.086752623,8.160013371,4.932140905,3.647658165,"1"
"67","BCPD_0532","A","M","red_beige",0.224265169,15.99999984,0.09414109,7.702903941,3.146645218,2.352844712,"3"
"68","BCPD_0536","A","M","red_gold",0.297071196,15.99999984,0.096024174,8.195037394,3.644992835,2.727014291,"3"
"69","BCPD_0539","A","M","red_beige",0.287617242,15.99999984,0.090424185,8.683031869,3.903551317,2.74610225,"3"
"70","BCPD_0550","A","M","red_speckle",0.289589531,45.25483331,0.100789937,9.811859905,3.874736961,3.153110506,"3"
"71","BCPD_0562","A","M","red",0.144851137,90.50966632,0.091386353,7.153975561,2.278779022,1.734842504,"1"
"72","BCPD_0565","A","M","red_gold",0.226570027,127.9999974,0.086365293,8.114864972,4.529727636,3.405739366,"1"
"73","BCPD_0571","A","M","red",0.129864531,127.9999974,0.086141738,6.528009259,2.790679781,2.308189183,"1"
"74","BCPD_0572","A","M","gold_red",0.294951797,45.25483331,0.0911564,8.193204468,5.37625008,3.914492626,"3"
"75","BCPD_0573","A","M","red",0.153189247,127.9999974,0.103030171,7.239629762,2.330246172,1.873832657,"1"
"76","BCPD_0579","A","M","red_speckle",0.281231835,90.50966632,0.089897222,9.297376473,4.503480848,3.762626234,"1"
"77","BCPD_0596","A","M","gold_red",0.256278001,15.99999984,0.088970006,7.514081369,5.0769764,3.675421451,"3"
"78","BCPD_0631","A","M","gold_red",0.300738865,11.3137084,0.096134911,8.480121364,5.472131585,3.647060684,"3"
"79","BCPD_0635","A","M","beige_pink",0.966712014,63.99999893,0.123641003,16.21391879,11.151536272,7.347618402,"2"
"80","BCPD_0115","A","M","white_back_beige",2.197608047,63.99999893,0.149634264,20.9905623,18.92344169,15.46852439,"4"
"81","BCPD_0117","A","M","white_back_beige_red_stripes",1.46635886,90.50966632,0.135337933,17.40728176,12.799096298,9.373789004,"4"
"82","BCPD_0198","A","M","white_back_pink",1.694811173,31.99999957,0.143254205,20.79388027,16.1259135,11.992684627,"4"
"83","BCPD_0218","A","M","white_hourglass",1.172996492,45.25483331,0.136785373,14.89952232,10.299637837,8.147994116,"2"
"84","BCPD_0225","A","M","white_back_red",0.715132094,127.9999974,0.123980399,10.237569965,5.525544159,3.47375984,"1"
"85","BCPD_0236","A","M","white_back_gold_red",1.427288952,45.25483331,0.129736496,16.06160087,13.05385381,10.706153184,"4"
"86","BCPD_0330","A","M","white_back_white_beige",1.582246443,31.99999957,0.142570847,17.78367925,16.5051999,12.583773322,"4"
"87","BCPD_0331","A","M","white_back_beige_white_red",1.454897064,45.25483331,0.130521554,15.923781,12.498937477,10.663548386,"4"
"88","BCPD_0338","A","M","white_hourglass",1.299693466,63.99999893,0.108750155,20.32675766,16.96806518,14.00335359,"4"
"89","BCPD_0352","A","M","white_back_red_beige",1.848229958,45.25483331,0.148820298,18.25899522,13.97345269,11.582322648,"4"
"90","BCPD_0394","A","M","white_back_gold_red",1.610352157,90.50966632,0.121133498,18.93362458,14.80176442,11.62971531,"4"
"91","BCPD_0416","A","M","white_back_beige_red_stripes",1.580617978,45.25483331,0.129951746,16.46238573,14.21654708,10.510509884,"4"
"92","BCPD_0445","A","M","white_hourglass",1.91894015,31.99999957,0.1259758,25.499488,23.47368678,18.60353553,"4"
"93","BCPD_0513","A","M","white_back_gold_red",1.310430319,63.99999893,0.118104899,15.75493597,11.69359736,8.695411878,"2"
"94","BCPD_0535","A","M","white_back_beige_red_stripes",1.20073348,90.50966632,0.11437826,17.34951948,11.2415011,7.394479206,"2"
"95","BCPD_0599","A","M","white_hourglass",1.394351108,31.99999957,0.159096204,15.85854498,13.43643254,10.999714928,"4"
"96","BCPD_0616","A","M","white_back_beige",1.907216362,31.99999957,0.118931011,24.63808706,21.94214737,17.92365191,"4"
"97","BCPD_0620","A","M","white_back_beige",1.27789665,31.99999957,0.11430951,19.29405245,16.47486407,12.51960494,"4"
"98","BCPD_0622","A","M","white_hourglass",1.773556372,31.99999957,0.158688529,18.26722786,15.41973439,13.59684046,"4"
"99","BCPD_0634","A","M","white_back_beige",2.239784693,45.25483331,0.136276665,24.26318203,21.07654476,16.32004442,"4"
"110","BCPD_0307","A","M","fluor",0.809731658,45.25483331,0.1055297,23.78552392,4.857213789,3.050122547,"M"
"210","BCPD_0389","A","M","fluor",0.959772254,63.99999893,0.116460443,25.03244152,5.383213337,3.138714408,"M"
"310","BCPD_0419","A","M","mimic_purple",0.425633133,63.99999893,0.131459973,7.659066748,7.625339168,12.499120419,"M"
"410","BCPD_0420","A","M","mimic_orange_type2",1.591306425,90.50966632,0.121060819,23.33780643,20.13524721,18.95700453,"M"
"510","BCPD_0481","A","M","mimic_orange_type1",0.772432896,31.99999957,0.106633034,16.90444574,11.117274348,7.953399708,"M"
"610","BCPD_0483","A","M","fluor",0.767001775,45.25483331,0.116842475,22.69574679,3.861423555,2.546535164,"M"
"111","BCPD_0072","A","M","xmas",0.536688499,15.99999984,0.092889785,13.86348632,4.626744834,3.195630461,"M"
"121","BCPD_0185","A","M","xmas",0.565413195,90.50966632,0.117061456,12.307718272,6.479747238,5.288056748,"M"
"141","BCPD_0386","A","M","brown_beige_border",0.451361346,31.99999957,0.098890901,7.511694155,5.339680935,4.235914723,"M"
"151","BCPD_0413","A","M","brown_beige_border",0.273802262,31.99999957,0.093525758,6.244857658,4.428423246,2.737151955,"M"
"161","BCPD_0466","A","M","green",0.324191455,31.99999957,0.105654533,7.844977936,7.3855096,3.510675282,"M"
"171","BCPD_0518","A","M","xmas",0.246644567,90.50966632,0.096465438,8.910124908,3.809193994,2.976145636,"M"
"181","BCPD_0519","A","M","xmas",0.255510025,90.50966632,0.101884428,9.197999995,3.725154363,2.928532915,"M"
"191","BCPD_0576","A","M","xmas",0.230341258,45.25483331,0.090130974,7.976568106,3.332777683,2.407092808,"M"
"201","BCPD_0621","A","M","xmas",0.356898927,45.25483331,0.098196792,9.042511203,4.159182165,2.933194453,"M"
