"","BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c","Cluster"
"1","BCPD_0586","A","F","red_beige",0.462991008,63.99999893,0.125103707,10.510978126,6.020490981,4.839340604,"1"
"2","BCPD_0079","A","F","red_beige",0.538520733,63.99999893,0.116689578,10.438845059,5.802167954,4.352474462,"1"
"3","BCPD_0580","A","F","red_speckle",0.330761847,45.25483331,0.092765842,9.613452714,4.550046973,4.142384778,"3"
"4","BCPD_0482","A","F","red_beige_fluor",0.487333723,90.50966632,0.111398552,8.493680906,5.322929252,3.547990293,"1"
"5","BCPD_0187","A","F","red_beige",0.763856597,90.50966632,0.113674646,13.76590432,8.819436979,5.935152514,"1"
"6","BCPD_0182","A","F","beige",0.818373767,127.9999974,0.108563992,14.27998739,10.967835599,7.184260098,"1"
"7","BCPD_0221","A","F","beige_middle",0.751955211,63.99999893,0.125804416,14.2333579,9.844658023,5.93606477,"1"
"8","BCPD_0374","A","F","red_beige",0.571595141,63.99999893,0.12247604,11.175237262,6.447820494,4.583281663,"1"
"9","BCPD_0592","A","F","red_speckle",0.184502222,15.99999984,0.088793386,6.85497595,3.022734204,2.446416102,"3"
"10","BCPD_0345","A","F","red_speckle",0.236770149,90.50966632,0.097331903,9.238883147,3.003919817,2.496055192,"1"
"11","BCPD_0520","A","F","beige_pink",0.815579354,63.99999893,0.123557739,15.14551085,10.630490109,7.414208064,"1"
"12","BCPD_0542","A","F","beige_pink",0.789683884,63.99999893,0.119581089,14.15781947,10.472608147,7.123259414,"1"
"13","BCPD_0566","A","F","red_gold",0.22139465,90.50966632,0.093993344,6.952974905,4.194757419,3.030337097,"1"
"14","BCPD_0491","A","F","red_beige",0.541635221,63.99999893,0.123247117,9.94737907,5.277620858,3.543237514,"1"
"15","BCPD_0111","A","F","beige_brown",1.001131361,63.99999893,0.111883443,17.26503952,13.18750974,9.303499732,"1"
"16","BCPD_0234","A","F","red_beige",0.325314784,90.50966632,0.10724982,8.07404604,4.292866361,3.438587261,"1"
"17","BCPD_0092","A","F","red_beige",0.677123834,63.99999893,0.116109911,10.317970217,6.611554733,4.600037835,"1"
"18","BCPD_0066","A","F","red_beige",0.617147179,63.99999893,0.11927235,11.779624115,6.715467045,4.857747478,"1"
"19","BCPD_0588","A","F","red_beige",0.489960543,63.99999893,0.124097099,10.171492197,5.106115307,3.588553978,"1"
"20","BCPD_0109","A","F","beige_red",0.645775442,90.50966632,0.125602036,12.037058849,8.055820596,5.39637978,"1"
"21","BCPD_0318","A","F","beige_orange_bits",0.801893113,127.9999974,0.135192382,13.19065439,9.619002784,6.286555174,"1"
"22","BCPD_0186","A","F","beige_red",0.723425036,90.50966632,0.110108625,14.49852185,9.38585921,6.025208069,"1"
"23","BCPD_0405","A","F","red_gold",0.36775263,90.50966632,0.103116267,9.319072036,5.768250245,3.883487894,"1"
"24","BCPD_0342","A","F","red_gold",0.529799684,90.50966632,0.110441206,11.493656224,6.55517811,4.163289944,"1"
"25","BCPD_0515","A","F","red_gold",0.379642141,63.99999893,0.099152503,9.60232495,5.684501676,4.076038841,"1"
"26","BCPD_0465","A","F","red_beige",0.300135775,63.99999893,0.107442236,9.098620823,4.272610024,3.342304213,"1"
"27","BCPD_0385","A","F","beige_red",0.541074777,90.50966632,0.112393787,10.702766914,7.866823835,5.164373758,"1"
"28","BCPD_0219","A","F","red_beige",0.484326051,90.50966632,0.103107327,11.32622729,4.881830517,3.218660088,"1"
"29","BCPD_0524","A","F","red_beige",0.47165357,63.99999893,0.111968814,8.692081,4.799930431,3.300946747,"1"
"30","BCPD_0540","A","F","red_speckle",0.25942791,22.62741673,0.086628683,8.409537972,3.715565504,2.817333258,"3"
"31","BCPD_0350","A","F","red_beige",0.325295262,90.50966632,0.095478964,8.777084912,4.352083119,3.530105194,"1"
"32","BCPD_0569","A","F","red_gold",0.243548462,63.99999893,0.093328101,7.647343885,3.968509571,2.888159128,"3"
"33","BCPD_0538","A","F","red_speckle_stripes",0.303436333,7.999999946,0.103088929,6.20411236,3.314808111,2.479794744,"3"
"34","BCPD_0102","A","F","red_beige",0.489218766,90.50966632,0.096981418,9.762418927,5.003688267,2.633302049,"1"
"35","BCPD_0233","A","F","red_beige",0.41905314,90.50966632,0.115279405,8.556367693,5.514678053,4.005582865,"1"
"36","BCPD_0537","A","F","red_beige",0.404336678,90.50966632,0.104592722,8.834886982,4.317879108,3.244662891,"1"
"37","BCPD_0531","A","F","red_beige",0.429924157,63.99999893,0.098961584,9.469256935,5.71019791,3.931685948,"1"
"38","BCPD_0322","A","F","beige_pink",0.741165354,127.9999974,0.119242765,14.00298561,9.67993471,6.336052033,"1"
"39","BCPD_0460","A","F","red_gold",0.346226979,90.50966632,0.096198828,9.020640898,5.174245586,3.51419614,"1"
"40","BCPD_0541","A","F","red_speckle",0.201189035,15.99999984,0.102652741,6.631942945,2.275614125,1.816005498,"3"
"41","BCPD_0456","A","F","red_gold",0.35606618,90.50966632,0.121585316,8.692154774,3.743328209,2.45759339,"1"
"42","BCPD_0101","A","F","beige_fluor",0.903243672,90.50966632,0.102923195,17.13803025,11.901295301,6.668969984,"1"
"43","BCPD_0568","A","F","red",0.358760213,90.50966632,0.115475375,10.708334511,4.476812345,3.821602023,"1"
"44","BCPD_0192","A","F","beige",0.490034408,90.50966632,0.11246164,10.121872915,7.158919412,4.327202134,"1"
"45","BCPD_0528","A","F","red_beige",0.39467831,22.62741673,0.1003901,9.057008914,4.600950574,3.472810731,"3"
"46","BCPD_0418","A","F","red_speckle",0.124183126,15.99999984,0.088403421,5.835033859,2.379462116,1.917972384,"3"
"47","BCPD_0403","A","F","beige_red",0.51536831,90.50966632,0.10025035,10.327486053,6.726804256,4.524818789,"1"
"48","BCPD_0516","A","F","red_speckle",0.210828076,22.62741673,0.088834302,6.908383562,3.262328929,2.205207476,"3"
"49","BCPD_0373","A","F","red_beige",0.374644761,22.62741673,0.099667013,8.705542916,4.94260753,4.016807361,"3"
"50","BCPD_0371","A","F","red_beige",0.375120493,22.62741673,0.099528534,8.075354955,4.655334767,3.702453487,"3"
"51","BCPD_0581","A","F","red_speckle",0.289972114,90.50966632,0.108646446,8.59882212,3.100076032,2.238406123,"1"
"52","BCPD_0496","A","F","red_beige",0.409745568,90.50966632,0.105673024,9.239258958,5.388848386,4.164150961,"1"
"53","BCPD_0106","A","F","gold_yellow",0.90346291,90.50966632,0.126831137,16.47574966,11.139364207,5.921218362,"1"
"54","BCPD_0099","A","F","red_beige",0.494162958,90.50966632,0.103199592,8.766121037,4.383663819,3.213383824,"1"
"55","BCPD_0381","A","F","red_speckle",0.213418746,22.62741673,0.084471538,7.377767971,3.470862641,2.690147292,"3"
"56","BCPD_0575","A","F","red_speckle",0.321461724,90.50966632,0.103835646,9.629737053,4.109363749,2.87609466,"1"
"57","BCPD_0113","A","F","red_beige",0.422227244,63.99999893,0.091302594,11.110903968,4.507732036,2.9659371,"1"
"58","BCPD_0344","A","F","red_beige",0.301238068,127.9999974,0.098977849,8.048988932,3.953324385,2.880491938,"1"
"59","BCPD_0196","A","F","red_beige",0.204990982,22.62741673,0.087923662,6.999946172,2.038579537,1.377745816,"3"
"60","BCPD_0224","A","F","gold",0.47872254,90.50966632,0.113900674,10.19700391,6.960954055,4.408729978,"1"
"61","BCPD_0558","A","F","red_beige",0.244539196,127.9999974,0.087917314,8.112957994,3.033401723,2.08674183,"1"
"62","BCPD_0384","A","F","red_beige",0.418444208,22.62741673,0.096116598,8.862539331,3.834722847,2.860529431,"3"
"63","BCPD_0577","A","F","red_gold",0.385703998,90.50966632,0.120442105,8.665619963,5.051833448,3.312275482,"1"
"64","BCPD_0583","A","F","red_gold",0.288416959,181.019332,0.089056598,8.514523236,4.18253029,2.921873321,"1"
"65","BCPD_0619","A","F","white_hourglass",1.515835201,63.99999893,0.133324856,19.50498483,16.08999079,12.329848167,"2"
"66","BCPD_0511","A","F","white",1.806216774,45.25483331,0.133611277,24.10583648,23.08142823,20.1736166,"2"
"67","BCPD_0534","A","F","white_hourglass",1.67350664,63.99999893,0.139660176,20.99527285,16.27389129,11.120530712,"2"
"68","BCPD_0503","A","F","beige_middle",1.082379645,90.50966632,0.126211818,16.99140958,12.616138185,8.651025558,"2"
"69","BCPD_0499","A","F","white",2.465154767,90.50966632,0.137367609,31.1320556,27.92180885,23.67886084,"2"
"70","BCPD_0406","A","F","white_back_beige",1.847415212,63.99999893,0.130831074,20.77385122,16.54428399,12.39105642,"2"
"71","BCPD_0212","A","F","white_back_sunset",1.312535976,90.50966632,0.131580455,16.99727906,11.687906791,7.932750907,"2"
"72","BCPD_0393","A","F","white_hourglass",1.737283637,63.99999893,0.132854136,23.00678584,18.84105085,14.50870592,"2"
"73","BCPD_0096","A","F","white_back_sunset",2.967294857,90.50966632,0.163258837,22.07949621,18.45436164,15.79486166,"2"
"74","BCPD_0396","A","F","beige_middle",1.299809425,90.50966632,0.141728919,20.30967056,11.562225714,6.308483954,"2"
"75","BCPD_0591","A","F","white_back_red",1.47294292,63.99999893,0.129573311,16.848659,12.54601607,9.311135438,"2"
"76","BCPD_0103","A","F","white",1.928449152,90.50966632,0.134817576,25.99843186,21.68158651,15.74709755,"2"
"77","BCPD_0505","A","F","white_hourglass",1.20150199,90.50966632,0.105453488,19.86907053,15.11218994,11.522259131,"2"
"78","BCPD_0376","A","F","white",2.568685567,90.50966632,0.12184642,39.12972215,32.67753175,25.57225071,"2"
"79","BCPD_0382","A","F","white_back_red",2.145488721,127.9999974,0.145676673,18.43468305,14.25609693,11.38914669,"2"
"80","BCPD_0223","A","F","white",1.598502433,90.50966632,0.114346688,25.66419829,20.07174464,14.81484698,"2"
"81","BCPD_0337","A","F","white_back_red",1.694057539,127.9999974,0.137721163,17.71140649,9.825247827,7.810057717,"2"
"710","BCPD_0484","A","F","fluor",1.120616064,90.50966632,0.127990328,31.21262183,5.339007023,3.1219963,"M"
"82","BCPD_0208","A","F","mimic_orange_type1",1.957156371,90.50966632,0.13967501,30.67392099,24.69171688,19.88899638,"M"
"91","BCPD_0415","A","F","mimic_orange_type1",1.324539876,90.50966632,0.129406609,22.92032083,17.06268263,13.8201471,"M"
"101","BCPD_0377","A","F","fluor",1.3482037,90.50966632,0.126891671,35.82383952,6.85406782,4.690079622,"M"
"131","BCPD_0467","A","F","green",0.548609718,90.50966632,0.128860455,9.147017519,8.932250907,3.705305633,"M"
