BCPD,Sex,lumMean_0,lumSD_0,lumMean_10,lumSD_10,lumMean_20,lumSD_20,area,maxPower_lum_0,maxFreq_lum_0,propPower_lum_0,sumPower_lum_0,meanPower_lum_0,powerSD_lum_0,maxPower_R_0,maxFreq_R_0,propPower_R_0,sumPower_R_0,meanPower_R_0,powerSD_R_0,maxPower_G_0,maxFreq_G_0,propPower_G_0,sumPower_G_0,meanPower_G_0,powerSD_G_0,maxPower_B_0,maxFreq_B_0,propPower_B_0,sumPower_B_0,meanPower_B_0,powerSD_B_0,maxPower_lum_10,maxFreq_lum_10,propPower_lum_10,sumPower_lum_10,meanPower_lum_10,powerSD_lum_10,maxPower_R_10,maxFreq_R_10,propPower_R_10,sumPower_R_10,meanPower_R_10,powerSD_R_10,maxPower_G_10,maxFreq_G_10,propPower_G_10,sumPower_G_10,meanPower_G_10,powerSD_G_10,maxPower_B_10,maxFreq_B_10,propPower_B_10,sumPower_B_10,meanPower_B_10,powerSD_B_10,maxPower_lum_20,maxFreq_lum_20,propPower_lum_20,sumPower_lum_20,meanPower_lum_20,powerSD_lum_20,maxPower_R_20,maxFreq_R_20,propPower_R_20,sumPower_R_20,meanPower_R_20,powerSD_R_20,maxPower_G_20,maxFreq_G_20,propPower_G_20,sumPower_G_20,meanPower_G_20,powerSD_G_20,maxPower_B_20,maxFreq_B_20,propPower_B_20,sumPower_B_20,meanPower_B_20,powerSD_B_20,R_0,R_SD_0,G_0,G_SD_0,B_0,B_SD_0,R_10,R_SD_10,G_10,G_SD_10,B_10,B_SD_10,R_20,R_SD_20,G_20,G_SD_20,B_20,B_SD_20,Cluster
0115,M,16.957002,10.47504399,17.21717297,9.24273859,17.09942766,8.414488803,1.204804116,2.197608047,63.99999893,0.149634264,14.68652962,1.04903783,0.676034757,2.236328792,63.99999893,0.14998363,14.91048582,1.065034702,0.691591316,2.164469937,63.99999893,0.148772272,14.54888002,1.039205716,0.660205128,1.965665941,63.99999893,0.149056981,13.18734574,0.941953267,0.604654669,2.109957332,15.99999984,0.15978404,13.20505683,0.943218345,0.723248061,2.150002555,15.99999984,0.159446382,13.48417273,0.963155195,0.739564091,2.075333636,15.99999984,0.159999737,12.97085655,0.926489754,0.709217938,1.876777631,15.99999984,0.160881999,11.66555391,0.83325385,0.641317195,1.975876402,7.999999946,0.167095245,11.82485114,0.844632224,0.734601075,2.01666565,7.999999946,0.166398501,12.11949407,0.865678147,0.753708891,1.939805606,7.999999946,0.167685377,11.56812625,0.826294732,0.717845561,1.744714983,7.999999946,0.169394809,10.29969567,0.735692548,0.640390486,17.9905623,10.03511667,15.92344169,10.95314827,12.46852439,11.21267242,18.25444786,8.80585552,16.17989813,9.696648435,12.70619214,10.06980999,18.14560394,7.988461383,16.05325147,8.850315299,12.56272067,9.213729989,1
0116,M,9.385412463,2.962509352,9.384580197,1.889750534,9.367933214,1.448925168,1.598042746,0.79629751,90.50966632,0.108990664,7.306107549,0.521864825,0.205036021,0.925184172,90.50966632,0.111093582,8.32797141,0.594855101,0.245970596,0.668109456,90.50966632,0.10564488,6.324106366,0.451721883,0.163999735,0.330194225,90.50966632,0.092813484,3.557610481,0.254115034,0.078041409,0.790283177,22.62741673,0.131865061,5.993120328,0.428080023,0.292404398,0.917455245,22.62741673,0.132240438,6.937781356,0.495555811,0.339810569,0.663612026,22.62741673,0.131189618,5.05841878,0.361315627,0.245535142,0.328982395,22.62741673,0.126111962,2.608653375,0.186332384,0.124807557,0.801499788,15.99999984,0.146707909,5.463235046,0.390231075,0.315214388,0.929037123,15.99999984,0.146747788,6.330842416,0.45220303,0.366559043,0.674311455,15.99999984,0.146517045,4.602273114,0.328733794,0.264169092,0.335692239,15.99999984,0.143950951,2.331990427,0.166570745,0.132673683,10.82846951,3.322621146,7.942355417,2.676914188,3.992869595,1.890575236,10.84227607,2.22944319,7.926884394,1.58467323,3.966965841,1.025018377,10.82310305,1.753232203,7.912763427,1.169556998,3.963563199,0.7178144,2
0117,M,12.10318903,6.607256707,12.17080234,5.184032797,12.10358781,4.524793014,1.023781749,1.46635886,90.50966632,0.135337933,10.83479576,0.773913983,0.382878829,1.614109597,90.50966632,0.135489879,11.91313775,0.850938411,0.433052047,1.319549343,90.50966632,0.133231169,9.90420897,0.707443498,0.331357738,1.078285447,90.50966632,0.134053806,8.043676473,0.57454832,0.269181664,1.422652498,22.62741673,0.174830855,8.137307898,0.581236278,0.48483397,1.566294083,22.62741673,0.170156309,9.205030898,0.657502207,0.540392721,1.27978195,22.62741673,0.179464448,7.131116856,0.50936549,0.431658102,1.045137067,22.62741673,0.184702855,5.658478124,0.404177009,0.347731351,1.352487539,11.3137084,0.198637681,6.808816594,0.486344042,0.495170659,1.492257769,11.3137084,0.192693089,7.744220481,0.553158606,0.553268504,1.214298244,11.3137084,0.205314941,5.914319914,0.422451422,0.439788187,0.990181659,11.3137084,0.212463444,4.660480137,0.332891438,0.352955159,14.40728176,6.84263993,9.799096298,6.431197283,6.373789004,5.703590062,14.48198195,5.425269533,9.859622822,4.962373024,6.41704351,4.482817912,14.42027176,4.720320763,9.786903844,4.33939113,6.343531554,3.949485704,1
0118,M,6.215108414,2.36394328,6.172883258,1.353322077,6.164189775,1.063318873,2.08955959,0.427210823,11.3137084,0.087104297,4.904589518,0.350327823,0.066634852,0.577457698,45.25483331,0.094584735,6.105189127,0.436084938,0.095387107,0.382160759,11.3137084,0.094901309,4.026928203,0.287637729,0.057758677,0.262641737,11.3137084,0.102779542,2.555389256,0.182527804,0.051975599,0.400562582,31.99999957,0.108527347,3.690890755,0.263635054,0.150118951,0.589042609,11.3137084,0.120327675,4.89532113,0.349665795,0.204325144,0.310622105,31.99999957,0.115783045,2.682794406,0.191628172,0.106218773,0.154357404,11.3137084,0.110663002,1.394842,0.099631571,0.051277316,0.404569468,22.62741673,0.123003027,3.289101724,0.234935837,0.162583521,0.57056166,7.999999946,0.129138217,4.418224696,0.315587478,0.220593715,0.310062987,22.62741673,0.133957559,2.314635996,0.165331143,0.112583208,0.136575959,7.999999946,0.122802474,1.112159669,0.079439976,0.049549493,8.626958285,2.381534179,3.803258542,2.510425288,1.138272233,1.906646168,8.598378571,1.320913667,3.747387941,1.521303638,1.087619466,1.082263355,8.583563899,1.029184024,3.744815647,1.226538548,1.088717927,0.853090206,2
0119,M,6.174930612,2.837007511,6.137560091,2.007149606,6.091945424,1.743377691,2.19708846,0.469136518,15.99999984,0.087804771,5.342950223,0.381639302,0.085948271,0.611367012,45.25483331,0.087592481,6.979674571,0.498548184,0.121880693,0.394362164,15.99999984,0.091770788,4.297251597,0.306946543,0.069834049,0.275218223,15.99999984,0.094934734,2.899025574,0.207073255,0.052826854,0.463820099,31.99999957,0.10959981,4.231942559,0.302281611,0.149230456,0.611020777,31.99999957,0.107191869,5.700253019,0.40716093,0.22405007,0.333755596,31.99999957,0.103403815,3.227691317,0.23054938,0.096272457,0.231192545,11.3137084,0.113099071,2.044159536,0.146011395,0.056757969,0.433566179,22.62741673,0.112433076,3.856215558,0.275443968,0.165161527,0.634718681,7.999999946,0.119710157,5.302128884,0.378723492,0.252280596,0.313721654,22.62741673,0.112696497,2.783774669,0.198841048,0.103254426,0.193376872,7.999999946,0.112111176,1.724867033,0.123204788,0.0601801,9.461853184,2.689614102,2.888008041,3.112203879,0.843006599,2.305651526,9.418923814,1.777126434,2.856196382,2.314782618,0.820770152,1.650498669,9.391984589,1.528682584,2.791906254,2.031177886,0.784845778,1.451780038,2
0181,M,11.15699375,3.97425107,11.19937689,2.322675835,11.36906497,1.696364509,1.595786892,0.950241769,45.25483331,0.110491088,8.600166661,0.614297619,0.222105933,1.111935572,45.25483331,0.113314466,9.812829849,0.700916418,0.264191367,0.795080798,45.25483331,0.106382944,7.473761954,0.53384014,0.183509009,0.487649325,31.99999957,0.096919599,5.031483108,0.359391651,0.116397761,0.907498074,11.3137084,0.13730241,6.609483951,0.472105997,0.32701902,1.067895207,11.3137084,0.137601407,7.76078698,0.554341927,0.383292073,0.751371785,11.3137084,0.136656798,5.49823937,0.392731384,0.272067121,0.454119984,11.3137084,0.124699609,3.641711385,0.260122242,0.163353548,0.916993683,7.999999946,0.14731623,6.224661605,0.444618686,0.353427165,1.084198374,7.999999946,0.147711988,7.339948417,0.52428203,0.418913064,0.752513975,7.999999946,0.146536347,5.135340076,0.366810005,0.288742686,0.449253394,7.999999946,0.133290131,3.370492557,0.240749468,0.167499634,13.26657035,4.193225097,9.047417151,3.834925793,5.269699416,2.994869043,13.31900472,2.481574193,9.079749135,2.214724235,5.280905241,1.924706402,13.51501045,1.798337754,9.223119554,1.639709358,5.357103219,1.5996141,1
0183,M,7.187800749,2.508131721,7.189091229,1.383787931,7.07468255,1.082064279,1.382595586,0.498097049,11.3137084,0.091493615,5.444063481,0.388861677,0.090476705,0.675348317,45.25483331,0.095392618,7.079670658,0.505690761,0.132229522,0.417765949,11.3137084,0.097455402,4.286739771,0.306195698,0.072589206,0.345022497,11.3137084,0.101713831,3.39209028,0.242292163,0.061559797,0.449030774,7.999999946,0.114221923,3.93121357,0.280800969,0.171846752,0.674496061,7.999999946,0.125046858,5.393946509,0.385281894,0.245231014,0.326850101,22.62741673,0.118830843,2.750549368,0.196467812,0.118236636,0.231557332,22.62741673,0.1151179,2.011479814,0.14367713,0.081695263,0.460576037,15.99999984,0.129010642,3.570062359,0.255004454,0.193656821,0.670680462,5.656854221,0.13365859,5.017862752,0.358418768,0.277931461,0.347043547,15.99999984,0.149489708,2.321521334,0.165822952,0.126757216,0.244496658,15.99999984,0.148354587,1.648055935,0.117718281,0.085944889,10.47062461,2.489900304,3.904976894,2.734962223,2.483833137,2.331708226,10.47079885,1.23678283,3.907383574,1.686534323,2.484980451,1.350844233,10.36885183,0.91071681,3.780513335,1.385665488,2.380570242,1.10366287,2
0184,M,8.585870587,3.1147499,8.461945631,1.805638915,8.563225703,1.451712977,1.860925561,0.593067443,45.25483331,0.088503529,6.701059809,0.478647129,0.094450106,0.76786039,45.25483331,0.095543237,8.036784332,0.574056024,0.124807599,0.503365198,31.99999957,0.088596498,5.681547357,0.405824811,0.091197893,0.388145733,31.99999957,0.08976795,4.323878766,0.308848483,0.080178724,0.57807849,11.3137084,0.117609455,4.915238236,0.351088445,0.204971488,0.770525669,11.3137084,0.122874358,6.270841871,0.447917277,0.262431854,0.441576627,7.999999946,0.117549957,3.756501803,0.268321557,0.160815149,0.320294405,7.999999946,0.120085986,2.667208861,0.190514919,0.114922786,0.560428986,5.656854221,0.12762484,4.391221844,0.313658703,0.227149077,0.733480698,7.999999946,0.129876137,5.647540137,0.403395724,0.289549821,0.431003584,5.656854221,0.129515194,3.327822555,0.237701611,0.170117573,0.309525921,5.656854221,0.132073535,2.343587765,0.167399126,0.114257697,11.32937315,2.985574625,5.842368021,3.404130902,3.651741233,2.889786941,11.22765069,1.641764489,5.696240561,2.092717282,3.531956256,1.768145874,11.31418666,1.292465443,5.812264792,1.71314465,3.622166402,1.433871594,2
0185,M,6.393732755,1.732793635,6.358428085,1.354211533,6.329512837,1.229228313,1.522543824,0.565413195,90.50966632,0.117061456,4.830054336,0.345003881,0.133223225,0.823778831,90.50966632,0.125092104,6.585378332,0.470384167,0.216391131,0.327988031,90.50966632,0.095898954,3.420141917,0.244295851,0.059714689,0.230278538,22.62741673,0.087410821,2.634439718,0.188174266,0.04144979,0.567457583,22.62741673,0.136583869,4.154645707,0.296760408,0.193428876,0.823356167,22.62741673,0.141012656,5.838881339,0.417062953,0.284753468,0.331200992,22.62741673,0.123866367,2.673857326,0.190989809,0.112115943,0.223138675,22.62741673,0.109524549,2.037339361,0.14552424,0.077493038,0.575642812,15.99999984,0.151045326,3.811060077,0.272218577,0.217384039,0.844643211,15.99999984,0.155129173,5.444773513,0.388912394,0.318822777,0.323592929,15.99999984,0.139094419,2.326426412,0.166173315,0.124572648,0.221337714,15.99999984,0.127239355,1.739538163,0.124252726,0.088125551,9.307718272,1.481844087,3.479747238,2.259245623,2.288056748,2.018809022,9.279848238,1.16709118,3.437007952,1.708959131,2.253346458,1.556075176,9.27052171,1.09927608,3.388503934,1.496150467,2.20847386,1.372352531,M
0188,M,4.536102421,2.189413096,4.509249085,1.226033775,4.525785403,1.025556298,2.005643433,0.422121017,90.50966632,0.110456787,3.821594216,0.272971015,0.086920453,0.557644275,90.50966632,0.117492781,4.746200319,0.339014309,0.127746978,0.288468183,90.50966632,0.096856768,2.978296614,0.212735472,0.049484938,0.137785481,11.3137084,0.102352674,1.346183494,0.096155964,0.030627509,0.416510338,22.62741673,0.139908203,2.977025847,0.212644703,0.140243357,0.548729882,22.62741673,0.140981757,3.892204872,0.278014634,0.185067721,0.285969325,22.62741673,0.136509323,2.094870291,0.149633592,0.096883538,0.080925993,7.999999946,0.116914282,0.69218227,0.049441591,0.028585414,0.414619513,11.3137084,0.148775304,2.786883994,0.199063142,0.152716265,0.547935293,11.3137084,0.149164306,3.673367356,0.262383383,0.202132879,0.282766273,11.3137084,0.147243156,1.920403507,0.137171679,0.104378285,0.071106586,11.3137084,0.123577075,0.575402728,0.041100195,0.026930203,6.029813969,2.377660478,3.042390872,2.087013319,0.613832296,1.362670089,6.00094379,1.391903143,3.017554382,1.118472929,0.588548603,0.693223031,6.027227069,1.188144784,3.02434374,0.910250046,0.596856034,0.553598844,2
