"","BCPD","Lifestage","Sex","Morph_original","maxPower","maxFreq","propPower","R","G","B","Cluster"
"57",351,"A","M","red_beige",0.397739119,31.99999957,0.094895597,10.652103241,6.154990052,5.263147843,"1"
"58",352,"A","M","white_back_red_beige",1.848229958,45.25483331,0.148820298,18.25899522,13.97345269,11.582322648,"3"
"59",353,"A","M","pink_beige",0.630439626,22.62741673,0.12524945,10.645097929,8.25959027,6.971185786,"1"
"60",354,"A","M","gold_red_stripes",0.444762308,31.99999957,0.107034836,10.053847277,7.58409403,4.656764132,"1"
"61",358,"A","M","beige_brown",0.737250028,31.99999957,0.122108646,13.80965086,9.714032324,6.530930316,"1"
"62",366,"A","M","red_gold",0.34560028,22.62741673,0.095468516,9.454394855,5.000454348,3.585268126,"1"
"63",368,"A","M","beige_brown",0.700936679,31.99999957,0.121990483,12.922035303,10.384255939,7.795754397,"1"
"64",372,"A","M","beige_red",0.60833331,45.25483331,0.095623426,14.06433745,9.650930396,6.186721544,"1"
"65",383,"A","M","gold_orange_bits",0.489780317,22.62741673,0.093687132,10.583098423,6.943508207,4.186139109,"1"
"66",391,"A","M","gold",0.491427994,45.25483331,0.092680212,11.159978399,8.184406802,5.251059405,"1"
"67",392,"A","M","red_speckle",0.26089147,11.3137084,0.086609976,10.136680387,3.528358201,2.967527635,"1"
"68",394,"A","M","white_back_gold_red",1.610352157,90.50966632,0.121133498,18.93362458,14.80176442,11.62971531,"3"
"69",401,"A","M","pink_speckle",0.444703126,22.62741673,0.122643536,10.628383173,5.838013294,5.073866271,"1"
"70",404,"A","M","gold_orange_bits",0.494158573,45.25483331,0.103163547,10.324567013,7.457601535,4.558169331,"1"
"71",407,"A","M","beige_white_red_stripe",0.556091191,31.99999957,0.111245917,12.221455245,9.499928736,7.12636705,"1"
"72",411,"A","M","beige_red",0.346248497,45.25483331,0.096130995,8.7232052,5.636839666,3.736463953,"1"
"73",416,"A","M","white_back_beige_red_stripes",1.580617978,45.25483331,0.129951746,16.46238573,14.21654708,10.510509884,"3"
"74",423,"A","M","red",0.202195328,15.99999984,0.088302736,8.517669343,2.77544942,2.326927473,"1"
"75",427,"A","M","red_speckle",0.228777686,11.3137084,0.083920876,8.002847901,3.716274585,3.489824559,"1"
"76",445,"A","M","white_hourglass",1.91894015,31.99999957,0.1259758,25.499488,23.47368678,18.60353553,"3"
"77",477,"A","M","gold",0.329871133,45.25483331,0.095320545,9.198574129,6.292658125,4.07538028,"1"
"78",494,"A","M","red_gold",0.328712945,11.3137084,0.091830257,8.80136237,5.240794334,4.037992302,"1"
"79",509,"A","M","red_gold",0.268033788,90.50966632,0.086752623,8.160013371,4.932140905,3.647658165,"2"
"80",513,"A","M","white_back_gold_red",1.310430319,63.99999893,0.118104899,15.75493597,11.69359736,8.695411878,"3"
"81",532,"A","M","red_beige",0.224265169,15.99999984,0.09414109,7.702903941,3.146645218,2.352844712,"1"
"82",535,"A","M","white_back_beige_red_stripes",1.20073348,90.50966632,0.11437826,17.34951948,11.2415011,7.394479206,"3"
"83",536,"A","M","red_gold",0.297071196,15.99999984,0.096024174,8.195037394,3.644992835,2.727014291,"1"
"84",539,"A","M","red_beige",0.287617242,15.99999984,0.090424185,8.683031869,3.903551317,2.74610225,"1"
"85",550,"A","M","red_speckle",0.289589531,45.25483331,0.100789937,9.811859905,3.874736961,3.153110506,"1"
